scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,69,keygen,1255767,7850,2056,348192,346636,22364
s2,ML-KEM-512,69,encaps,1488813,9306,2332,348192,346636,22364
s2,ML-KEM-512,69,decaps,1813225,11334,3173,348192,346636,22364
s2,ML-KEM-512,70,keygen,1255083,7846,2005,348192,346636,22364
s2,ML-KEM-512,70,encaps,1489457,9310,2655,348192,346636,22364
s2,ML-KEM-512,70,decaps,1812150,11326,3226,348192,346636,22364
s2,ML-KEM-512,71,keygen,1256889,7858,2340,348192,346636,22364
s2,ML-KEM-512,71,encaps,1490989,9319,2704,348192,346636,22364
s2,ML-KEM-512,71,decaps,1814102,11339,3171,348192,346636,22364
s2,ML-KEM-512,72,keygen,1255941,7852,2089,348192,346636,22364
s2,ML-KEM-512,72,encaps,1489203,9308,2416,348192,346636,22364
s2,ML-KEM-512,72,decaps,1812818,11331,3039,348192,346636,22364
s2,ML-KEM-512,73,keygen,1253295,7835,1942,348192,346636,22364
s2,ML-KEM-512,73,encaps,1488205,9302,2501,348192,346636,22364
s2,ML-KEM-512,73,decaps,1810252,11315,2994,348192,346636,22364
s2,ML-KEM-512,74,keygen,1253235,7835,1859,348192,346636,22364
s2,ML-KEM-512,74,encaps,1488123,9301,2472,348192,346636,22364
s2,ML-KEM-512,74,decaps,1810678,11318,3071,348192,346636,22364
s2,ML-KEM-512,75,keygen,1255609,7850,1819,348192,346636,22364
s2,ML-KEM-512,75,encaps,1489089,9307,2526,348192,346636,22364
s2,ML-KEM-512,75,decaps,1813060,11333,3039,348192,346636,22364
s2,ML-KEM-512,76,keygen,1259887,7876,2416,348192,346636,22364
s2,ML-KEM-512,76,encaps,1493279,9334,2650,348192,346636,22364
s2,ML-KEM-512,76,decaps,1811774,11325,3027,348192,346636,22364
s2,ML-KEM-512,77,keygen,1256249,7853,2070,348192,346636,22364
s2,ML-KEM-512,77,encaps,1490507,9317,2693,348192,346636,22364
s2,ML-KEM-512,77,decaps,1812492,11330,3135,348192,346636,22364
s2,ML-KEM-512,78,keygen,1254923,7845,2090,348192,346636,22364
s2,ML-KEM-512,78,encaps,1488825,9306,2374,348192,346636,22364
s2,ML-KEM-512,78,decaps,1812092,11327,3097,348192,346636,22364
s2,ML-KEM-512,79,keygen,1255421,7848,1988,348192,346636,22364
s2,ML-KEM-512,79,encaps,1490205,9315,2639,348192,346636,22364
s2,ML-KEM-512,79,decaps,1813430,11335,3197,348192,346636,22364
s2,ML-KEM-512,80,keygen,1255899,7851,2023,348192,346636,22364
s2,ML-KEM-512,80,encaps,1488575,9305,2446,348192,346636,22364
s2,ML-KEM-512,80,decaps,1812893,11332,3188,348192,346636,22364
s2,ML-KEM-512,81,keygen,1255163,7846,2061,348192,346636,22364
s2,ML-KEM-512,81,encaps,1489763,9312,2435,348192,346636,22364
s2,ML-KEM-512,81,decaps,1812346,11328,3047,348192,346636,22364
s2,ML-KEM-512,82,keygen,1277573,7986,1946,348192,346636,22364
s2,ML-KEM-512,82,encaps,1509431,9435,2506,348192,346636,22364
s2,ML-KEM-512,82,decaps,1835274,11472,3187,348192,346636,22364
s2,ML-KEM-512,83,keygen,1254830,7844,2426,348192,346636,22364
s2,ML-KEM-512,83,encaps,1489234,9309,2377,348192,346636,22364
s2,ML-KEM-512,83,decaps,1813766,11338,3163,348192,346636,22364
s2,ML-KEM-512,84,keygen,1258143,7865,2003,348192,346636,22364
s2,ML-KEM-512,84,encaps,1491189,9321,2634,348192,346636,22364
s2,ML-KEM-512,84,decaps,1812152,11327,3223,348192,346636,22364
s2,ML-KEM-512,85,keygen,1254641,7843,2005,348192,346636,22364
s2,ML-KEM-512,85,encaps,1488697,9306,2447,348192,346636,22364
s2,ML-KEM-512,85,decaps,1812555,11329,3171,348192,346636,22364
s2,ML-KEM-512,86,keygen,1255973,7852,2083,348192,346636,22364
s2,ML-KEM-512,86,encaps,1489775,9312,2710,348192,346636,22364
s2,ML-KEM-512,86,decaps,1813072,11333,3154,348192,346636,22364
s2,ML-KEM-512,87,keygen,1277365,7986,2100,348192,346636,22364
s2,ML-KEM-512,87,encaps,1512555,9455,2644,348192,346636,22364
s2,ML-KEM-512,87,decaps,1833481,11461,3052,348192,346636,22364
s2,ML-KEM-512,88,keygen,1256001,7852,1958,348192,346636,22364
s2,ML-KEM-512,88,encaps,1492599,9329,2540,348192,346636,22364
s2,ML-KEM-512,88,decaps,1813370,11335,3142,348192,346636,22364
s2,ML-KEM-512,89,keygen,1254473,7842,1964,348192,346636,22364
s2,ML-KEM-512,89,encaps,1490399,9316,2596,348192,346636,22364
s2,ML-KEM-512,89,decaps,1813233,11334,3160,348192,346636,22364
s2,ML-KEM-512,90,keygen,1259197,7872,1969,348192,346636,22364
s2,ML-KEM-512,90,encaps,1490143,9314,2715,348192,346636,22364
s2,ML-KEM-512,90,decaps,1813132,11333,3187,348192,346636,22364
s2,ML-KEM-512,91,keygen,1276905,7982,2097,348192,346636,22364
s2,ML-KEM-512,91,encaps,1513235,9458,2696,348192,346636,22364
s2,ML-KEM-512,91,decaps,1834522,11467,3087,348192,346636,22364
s2,ML-KEM-512,92,keygen,1255257,7847,1998,348192,346636,22364
s2,ML-KEM-512,92,encaps,1492071,9326,2592,348192,346636,22364
s2,ML-KEM-512,92,decaps,1812080,11326,3039,348192,346636,22364
s2,ML-KEM-512,93,keygen,1254671,7844,2021,348192,346636,22364
s2,ML-KEM-512,93,encaps,1491017,9320,2567,348192,346636,22364
s2,ML-KEM-512,93,decaps,1813775,11337,3169,348192,346636,22364
s2,ML-KEM-512,94,keygen,1258311,7866,1981,348192,346636,22364
s2,ML-KEM-512,94,encaps,1490737,9319,2638,348192,346636,22364
s2,ML-KEM-512,94,decaps,1812182,11327,3195,348192,346636,22364
s2,ML-KEM-512,95,keygen,1254855,7844,2016,348192,346636,22364
s2,ML-KEM-512,95,encaps,1491223,9321,2444,348192,346636,22364
s2,ML-KEM-512,95,decaps,1811494,11323,3095,348192,346636,22364
s2,ML-KEM-512,96,keygen,1256587,7856,2032,348192,346636,22364
s2,ML-KEM-512,96,encaps,1491611,9324,2669,348192,346636,22364
s2,ML-KEM-512,96,decaps,1812445,11329,3075,348192,346636,22364
s2,ML-KEM-512,97,keygen,1255445,7849,2060,348192,346636,22364
s2,ML-KEM-512,97,encaps,1490879,9319,2676,348192,346636,22364
s2,ML-KEM-512,97,decaps,1812562,11330,3113,348192,346636,22364
s2,ML-KEM-512,98,keygen,1255693,7850,2086,348192,346636,22364
s2,ML-KEM-512,98,encaps,1489665,9311,2280,348192,346636,22364
s2,ML-KEM-512,98,decaps,1812568,11330,3117,348192,346636,22364
s2,ML-KEM-512,99,keygen,1254037,7839,1859,348192,346636,22364
s2,ML-KEM-512,99,encaps,1488523,9304,2515,348192,346636,22364
s2,ML-KEM-512,99,decaps,1810739,11319,3074,348192,346636,22364
