scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,36,decaps,1719542,10748,3031,348192,346636,22348
s2,ML-KEM-512,37,keygen,1214019,7589,2032,348192,346636,22348
s2,ML-KEM-512,37,encaps,1426669,8921,2400,348192,346636,22348
s2,ML-KEM-512,37,decaps,1723024,10770,3079,348192,346636,22348
s2,ML-KEM-512,38,keygen,1213139,7584,2020,348192,346636,22348
s2,ML-KEM-512,38,encaps,1427826,8928,2428,348192,346636,22348
s2,ML-KEM-512,38,decaps,1719510,10748,3070,348192,346636,22348
s2,ML-KEM-512,39,keygen,1213135,7584,1973,348192,346636,22348
s2,ML-KEM-512,39,encaps,1424923,8910,2423,348192,346636,22348
s2,ML-KEM-512,39,decaps,1724442,10779,3070,348192,346636,22348
s2,ML-KEM-512,40,keygen,1209763,7563,1983,348192,346636,22348
s2,ML-KEM-512,40,encaps,1427267,8925,2430,348192,346636,22348
s2,ML-KEM-512,40,decaps,1722740,10768,2751,348192,346636,22348
s2,ML-KEM-512,41,keygen,1213421,7586,2044,348192,346636,22348
s2,ML-KEM-512,41,encaps,1426481,8919,2520,348192,346636,22348
s2,ML-KEM-512,41,decaps,1724326,10778,3122,348192,346636,22348
s2,ML-KEM-512,42,keygen,1211953,7577,1999,348192,346636,22348
s2,ML-KEM-512,42,encaps,1427647,8926,2531,348192,346636,22348
s2,ML-KEM-512,42,decaps,1718832,10744,3117,348192,346636,22348
s2,ML-KEM-512,43,keygen,1213053,7583,2009,348192,346636,22348
s2,ML-KEM-512,43,encaps,1424659,8908,2527,348192,346636,22348
s2,ML-KEM-512,43,decaps,1722960,10770,3037,348192,346636,22348
s2,ML-KEM-512,44,keygen,1212297,7579,2082,348192,346636,22348
s2,ML-KEM-512,44,encaps,1428977,8935,2508,348192,346636,22348
s2,ML-KEM-512,44,decaps,1722714,10768,2649,348192,346636,22348
s2,ML-KEM-512,45,keygen,1215007,7595,2128,348192,346636,22348
s2,ML-KEM-512,45,encaps,1426221,8918,2527,348192,346636,22348
s2,ML-KEM-512,45,decaps,1728788,10806,3123,348192,346636,22348
s2,ML-KEM-512,46,keygen,1210453,7567,1899,348192,346636,22348
s2,ML-KEM-512,46,encaps,1428605,8933,2569,348192,346636,22348
s2,ML-KEM-512,46,decaps,1723458,10773,3079,348192,346636,22348
s2,ML-KEM-512,47,keygen,1208813,7557,1944,348192,346636,22348
s2,ML-KEM-512,47,encaps,1430528,8944,2670,348192,346636,22348
s2,ML-KEM-512,47,decaps,1729656,10811,3245,348192,346636,22348
s2,ML-KEM-512,48,keygen,1213451,7586,2042,348192,346636,22348
s2,ML-KEM-512,48,encaps,1428347,8931,2470,348192,346636,22348
s2,ML-KEM-512,48,decaps,1721240,10759,2663,348192,346636,22348
s2,ML-KEM-512,49,keygen,1212083,7578,2104,348192,346636,22348
s2,ML-KEM-512,49,encaps,1424437,8907,2491,348192,346636,22348
s2,ML-KEM-512,49,decaps,1721436,10760,3014,348192,346636,22348
s2,ML-KEM-512,50,keygen,1211747,7575,2092,348192,346636,22348
s2,ML-KEM-512,50,encaps,1427597,8926,2484,348192,346636,22348
s2,ML-KEM-512,50,decaps,1718826,10744,2956,348192,346636,22348
s2,ML-KEM-512,51,keygen,1213379,7586,2084,348192,346636,22348
s2,ML-KEM-512,51,encaps,1425555,8914,2412,348192,346636,22348
s2,ML-KEM-512,51,decaps,1722482,10767,3007,348192,346636,22348
s2,ML-KEM-512,52,keygen,1234657,7719,2069,348192,346636,22348
s2,ML-KEM-512,52,encaps,1449376,9063,2331,348192,346636,22348
s2,ML-KEM-512,52,decaps,1746016,10913,3284,348192,346636,22348
s2,ML-KEM-512,53,keygen,1209829,7563,1911,348192,346636,22348
s2,ML-KEM-512,53,encaps,1426003,8916,2069,348192,346636,22348
s2,ML-KEM-512,53,decaps,1722508,10767,3052,348192,346636,22348
s2,ML-KEM-512,54,keygen,1212915,7583,1981,348192,346636,22348
s2,ML-KEM-512,54,encaps,1427335,8925,2399,348192,346636,22348
s2,ML-KEM-512,54,decaps,1722166,10765,2739,348192,346636,22348
s2,ML-KEM-512,55,keygen,1211805,7575,2079,348192,346636,22348
s2,ML-KEM-512,55,encaps,1425091,8911,2453,348192,346636,22348
s2,ML-KEM-512,55,decaps,1728914,10807,3153,348192,346636,22348
s2,ML-KEM-512,56,keygen,1206783,7544,1843,348192,346636,22348
s2,ML-KEM-512,56,encaps,1428859,8934,2521,348192,346636,22348
s2,ML-KEM-512,56,decaps,1726625,10792,3176,348192,346636,22348
s2,ML-KEM-512,57,keygen,1210929,7571,1890,348192,346636,22348
s2,ML-KEM-512,57,encaps,1429514,8938,2610,348192,346636,22348
s2,ML-KEM-512,57,decaps,1729008,10808,3311,348192,346636,22348
s2,ML-KEM-512,58,keygen,1212427,7580,1967,348192,346636,22348
s2,ML-KEM-512,58,encaps,1429623,8939,2457,348192,346636,22348
s2,ML-KEM-512,58,decaps,1722856,10769,2722,348192,346636,22348
s2,ML-KEM-512,59,keygen,1232273,7703,2041,348192,346636,22348
s2,ML-KEM-512,59,encaps,1449192,9061,2485,348192,346636,22348
s2,ML-KEM-512,59,decaps,1750060,10939,3294,348192,346636,22348
s2,ML-KEM-512,60,keygen,1209269,7560,1980,348192,346636,22348
s2,ML-KEM-512,60,encaps,1430859,8947,2729,348192,346636,22348
s2,ML-KEM-512,60,decaps,1720842,10756,2721,348192,346636,22348
