scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,33,1280880,2032691,8007,12705,54623,33816,1873,33890,0,0,-21,0,312e2791a3357834313eed8677ae5b277672b2658568149d1228f4128a7ae47d,804,772,58,225004,220548,21860,37.92
s1,ML-KEM-512,34,1276428,2006026,7980,12538,55277,34678,862,33489,0,0,-21,0,28464c6d9a76b0b6073cbfec829d61b0dd5603fd471e8c3b606bd6071dbac140,804,772,58,225004,220548,21860,37.12
s1,ML-KEM-512,35,1299395,1870861,8123,11694,58993,36598,1920,36133,0,0,-21,0,8243a8b5c8436b59c7afff6eed218a64c26fa9d164e014a44a63deb55ec648d1,804,772,58,225004,220548,21860,33.59
s1,ML-KEM-512,36,1296776,2013558,8107,12586,64217,43442,6844,39203,0,0,-21,0,e6e1358e80a26dddedc9f8864c9365eebd262b634e8f3491c06363e2dcf4bd68,804,772,58,225004,220548,21860,32.22
s1,ML-KEM-512,37,1275646,1885799,7975,11787,66709,44250,808,40665,0,0,-21,0,47832def62381202a01842bfa5cbd883f8be8e6889f73d598af973ae9e98581d,804,772,58,225004,220548,21860,29.62
s1,ML-KEM-512,38,1276274,2034615,7979,12718,58075,37299,6951,35012,0,0,-21,0,b03cd047aa2767590ffe7c53a4ed1932380726adbf00691ddb1ccca9362b3287,804,772,58,225004,220548,21860,35.64
s1,ML-KEM-512,39,1279506,1867607,7999,11673,61805,39312,2013,36998,0,0,-21,0,a4a411532a937ebc4e0a339a358724b2995b391d336e0c7c382c46aba012d884,804,772,58,225004,220548,21860,31.83
s1,ML-KEM-512,40,1278672,1991980,7994,12451,56709,33842,5470,34335,0,0,-21,0,3854742914dc8e58910031ba3ab9692c4da0fc22bc9aad33ca9490717228eb5a,804,772,58,225004,220548,21860,36.05
s1,ML-KEM-512,41,1276766,1863750,7981,11650,56326,33921,79,33908,0,0,-21,0,7af8c2f33c2ff8307530f482a589a81b63071364b88f01886a8302723a912f27,804,772,58,225004,220548,21860,34.85
s1,ML-KEM-512,42,1296384,1875530,8104,11723,56215,33880,41,34112,0,0,-21,0,a45db88ff05713c56066b34fbca30469dc7a0c52df6dcf57b5d7f5f138b0a8f7,804,772,58,225004,220548,21860,35.27
s1,ML-KEM-512,43,1278774,2033407,7994,12710,54655,33864,16,33105,0,0,-21,0,6e120d7d25d6977a582ca7af09d4eb81d3ac58d6d437a64d1eb053e7fca662fc,804,772,58,225004,220548,21860,37.88
s1,ML-KEM-512,44,1275528,1868145,7974,11677,60581,38293,4429,36743,0,0,-21,0,984b30d1405d890d5b214f0ca6116e348c368de8b84a207d707c19ff8261a1a9,804,772,58,225004,220548,21860,32.44
s1,ML-KEM-512,45,1277266,1884526,7985,11779,57712,35145,3148,35819,0,0,-21,0,cc5630311d7307845053d31352fc5a10df490b85b72ea713515efc294673488e,804,772,58,225004,220548,21860,34.25
s1,ML-KEM-512,46,1281030,2003196,8008,12521,57477,36869,1724,34526,0,0,-21,0,3f2a4e0bf3d25c31c0f5752e1e65fd362841148ff0b081d4418c1467ee40b893,804,772,58,225004,220548,21860,35.72
s1,ML-KEM-512,47,1303281,2014596,8148,12592,57027,36202,667,34855,0,0,-21,0,9bc483f19d81216b50b257825f6d87990f409c32d795303e2e9b6b20b5d183ce,804,772,58,225004,220548,21860,36.37
s1,ML-KEM-512,48,1277420,2014025,7986,12588,57550,36891,689,34747,0,0,-21,0,b8ada45cbc97856d575679d35e4d8866d4cdf5e51fe74f238bd8024c5d7c2d0d,804,772,58,225004,220548,21860,35.75
s1,ML-KEM-512,49,1275800,1897323,7975,11859,57260,34627,2264,34506,0,0,-21,0,0d12b073d75b87b36ec37cb6b1d3b3a3418fed7e7b0a0a18506f90de412803d4,804,772,58,225004,220548,21860,34.64
s1,ML-KEM-512,50,1302176,2017423,8140,12610,56620,35780,1153,34162,0,0,-21,0,ed87836af227aba72f382efc17d62a99d2e42fed5f944115c26b2ccac923a47d,804,772,58,225004,220548,21860,36.65
s1,ML-KEM-512,51,1281737,1867103,8013,11671,63778,41419,5639,37883,0,0,-21,0,1c404cd0c47a6b626cb104d75dd022a203cfd39153c585fb3c35df72a8586105,804,772,58,225004,220548,21860,30.86
s1,ML-KEM-512,52,1281356,1867288,8011,11671,59818,37618,3801,35780,0,0,-21,0,e2287a21421dc41873d8e21fb7320c5cee610c011578346de6101c16688ff4ee,804,772,58,225004,220548,21860,32.90
s1,ML-KEM-512,53,1277310,2080947,7985,13007,52797,31717,5901,33323,0,0,-21,0,823a932b87a55c4e3c376e7b94655d69ed6bb1556d4f75bd802aea9398e65d64,804,772,58,225004,220548,21860,39.76
s1,ML-KEM-512,54,1279062,1872884,7996,11707,66504,44278,12561,39223,0,0,-21,0,eb8ecc41124882a10f6db5a84a3d6fb8c88b990fd861f1ba2b526f166cdedd1b,804,772,58,225004,220548,21860,29.63
s1,ML-KEM-512,55,1278054,1892399,7990,11828,54016,31418,12860,33114,0,0,-21,0,27108f9675728ebe02481156e8b9f1fee2e2f4e0b538d0e712acba007a38a617,804,772,58,225004,220548,21860,36.69
